id,type,to_keep,authors_clean,year,title,source
W3110309004,article,0,"Sacha Altay, Anne-Sophie Hacquin, Hugo Mercier",2020,Why do so few people share fake news? It hurts their reputation,New Media & Society
W2025960492,article,0,Henri Meschonnic,1969,Pour la poétique,Langue Française
W2322654066,article,0,"Ewa M. Thompson, M. M. Bakhtin, Michael Holquist, Caryl Emerson, Michael Holquist",1981,The dialogic imagination: four essays,World Literature Today
W613544998,book,0,"M. M. Bakhtin, Alfreda Aucouturier, Tzvetan Todorov",1984,Esthétique de la création verbale,Gallimard Ebooks
W149682169,article,1,Deirdre Barrett,2011,Supernormal stimuli: how primal urges overran their evolutionary purpose,Southeastern Naturalist
W2316763831,article,0,William Bascom,1965,The forms of folklore: prose narratives,Journal Of American Folklore
W4316252531,article,1,Edgar Dubourg,2021,Les mondes imaginaires dans les fictions,Acta Fabula
W4320736349,book-chapter,0,"Pietro Bongini, Federico Becattini, Alberto Del Bimbo",2023,Is gpt-3 all you need for visual question answering in cultural heritage?,Lecture Notes In Computer Science
W3215975896,article,1,"Rebecca L. Burch, David R. Widman",2021,"Comic book bodies are supernormal stimuli: comparison of dc, marvel, and actual humans.",Evolutionary Behavioral Sciences
W2016376779,article,1,"Justin L. Barrett, Emily Burdett, Tenelle Porter",2009,Counterintuitiveness in folktales: finding the cognitive optimum,Journal Of Cognition And Culture
W2071772527,article,0,Zong-qi Cai,1999,In quest of harmony: plato and confucius on poetry,Philosophy East And West
W2007972777,article,0,Robert Ford Campany,1996,Strange writing: anomaly accounts in early medieval china,Choice Reviews Online
W2140855541,article,1,Mathias Clasen,2012,Monsters evolve: a biocultural approach to horror stories,Review Of General Psychology
W2031559709,book,0,Gregory Currie,1990,The nature of fiction,Cambridge University Press Ebooks
W2493277124,book-chapter,0,Kenneth J. DeWoskin,1987,The six dynasties chih-kuai and the birth of fiction,Princeton University Press Ebooks
W4214496318,article,1,"Edgar Dubourg, Nicolas Baumard",2022,Why and how did narrative fictions evolve? Fictions as entertainment technologies,Frontiers In Psychology
W3181296760,article,1,"Edgar Dubourg, Nicolas Baumard",2021,Why imaginary worlds? The psychological foundations and cultural evolution of fictions with imaginary worlds,Behavioral And Brain Sciences
W4409885779,article,1,"Edgar Dubourg, Rayan Safa, Valentin Thouzeau, Nicolas Baumard",2025,Charting the rise of imaginary worlds in history,Humanities And Social Sciences Communications
W4241510489,book-chapter,0,Catherine Gallagher,2006,The rise of fictionality,Princeton University Press Ebooks
W2330434663,article,0,"Gérard Genette, Nitsa Ben-Ari, Brian McHale",1990,"Fictional narrative, factual narrative",Poetics Today
W4250205480,article,0,Judith Weiss,2003,"The beginnings of medieval romance: fact and fiction, 1150–1220",Notes And Queries
W4205121113,article,0,"Christophe Heintz, Thom Scott‐Phillips",2022,Expression unleashed: the evolutionary and cognitive foundations of human communication,Behavioral And Brain Sciences
W2138036987,article,0,"Gerbert Kraaykamp, Koen van Eijck",2005,"Personality, media preferences, and cultural participation",Personality And Individual Differences
W2113669408,article,0,Alan M. Leslie,1987,"Pretense and representation: the origins of ""theory of mind.""",Psychological Review
W3096778042,article,1,"Maurício Martins, Nicolas Baumard",2020,The rise of prosociality in fiction preceded democratic revolutions in early modern europe,Proceedings Of The National Academy Of Sciences
W2616653445,review,0,Hugo Mercier,2017,How gullible are we? A review of the evidence from psychology and social science,Review Of General Psychology
W3003738006,article,0,Hugo Mercier,2020,Not born yesterday: the science of who we trust and what we believe,Social Forces
W2097741907,article,1,Daniel Nettle,2005,The wheel of fire and the mating game: explaining the origins of tragedy and comedy,Journal Of Cultural And Evolutionary Psychology
W2317772834,article,0,Elena Russo,2015,Before fiction: the ancien régime of the novel,Modern Language Quarterly
W1971847988,article,0,"Valerio Fulci, Sabina Chiaretti, Marina Goldoni, Gianluca Azzalin, Nicoletta Carucci, Simona Tavolaro, Leandro Castellano, Armando Magrelli, Franca Citarella, Monica Messina, Roberta Maggio, Nadia Peragine, Simona Santangelo, Francesca Romana Mauro, Pablo Landgraf, Thomas Tuschl, David B. Weir, Minchen Chien, James J. Russo, Jingyue Ju, Robert P. Sheridan, Chris Sander, Mihaela Zavolan, Anna Guarini, Robin Foà, Giuseppe Macino",2007,Quantitative technologies establish a novel microrna profile of chronic lymphocytic leukemia,Blood
W4247740782,article,0,Andrew Piper,2016,Fictionality,Journal Of Cultural Analytics
W1990036436,article,0,Hannes Rakoczy,2008,Taking fiction seriously: young children understand the normative structure of joint pretence games.,Developmental Psychology
W4392952697,article,1,Michelle Scalise Sugiyama,2024,Oral storytelling: humanity's first data management system?,Evolution And Human Behavior
W1565516345,article,0,Elitza Dulguerova,2001,"Schaeffer, jean-marie, pourquoi la fiction?, paris, seuil, 1999, 350 p.",Cinémas Revue D Études Cinématographiques
W4237977175,article,0,John R. Searle,1975,The logical status of fictional discourse,New Literary History
W4211000585,article,0,"Dan Sperber, Fabrice Clément, Christophe Heintz, Olivier Mascaro, Hugo Mercier, Gloria Origgi, Deirdre Wilson",2010,Epistemic vigilance,Mind & Language
W1967735818,article,1,"Joseph Stubbersfield, Jamshid J. Tehrani",2012,Expect the unexpected? Testing for minimally counterintuitive (mci) bias in the transmission of contemporary legends,Social Science Computer Review
W4404200614,article,0,Valerie Grace Derbyshire,2022,"Review: why women read fiction: the stories of our lives, by helen taylor",Journal Of Popular Romance Studies
W3020916510,article,1,"Peeter Tinits, Oleg Sobchuk",2020,Open-ended cumulative cultural evolution of hollywood film crews,Evolutionary Human Sciences
W2159420548,article,0,"John Tooby, Leda Cosmides",2001,"Does beauty build adapted minds? Toward an evolutionary theory of aesthetics, fiction, and the arts",Substance
W4405198213,article,0,Zihan Fahira,2024,"Religion as make-believe: a theory of belief, imagination, and group identity",International Journal For The Psychology Of Religion
W2796014291,article,0,Kendall L. Walton,1991,Mimesis as make-believe: on the foundations of the representational arts,Journal Of Aesthetics And Art Criticism
W2140071348,review,0,"Jacqueline D. Woolley, Maliki E. Ghossainy",2013,Revisiting the fantasy–reality distinction: children as naïve skeptics,Child Development
W2808803508,article,0,"Dongjing Zhang, Zongkui Zhou, Chuanhua Gu, Yuju Lei, Cuiying Fan",2018,Family socio-economic status and parent-child relationships are associated with the social creativity of elementary school children: the mediating role of personality traits,Journal Of Child And Family Studies
W4409678423,article,1,"Ying Zhong, Valentin Thouzeau, Nicolas Baumard",2025,Literary fiction indicates early modernization in china prior to western influence,Sociological Science
W4251451779,book,0,Abigail De Kosnik,2016,Rogue archives,The Mit Press Ebooks
W2896295631,article,1,Alberto Acerbi,2019,Cognitive attraction and online misinformation,Palgrave Communications
W2127160125,article,1,"Alberto Acerbi, Vasileios Lampos, Philip Garnett, R. Alexander Bentley",2013,The expression of emotions in 20th century books,Plos One
W3014147119,article,1,"Mark Algee‐Hewitt, Sarah Allison, Marissa Gemma, Ryan Heuser, Franco Moretti, Hannah Walser",2023,Canon/archive : large-scale dynamics in the literary field,Publication Server Of Goethe University Frankfurt Am Main (Goethe University Frankfurt)
W2921858050,article,0,"Taylor Arnold, Lauren Tilton",2019,Distant viewing: analyzing large visual corpora,Digital Scholarship In The Humanities
W2036062672,article,0,"Gerald Prince, Ann Banfield",1984,Unspeakable sentences: narration and representation in the language of fiction,Comparative Literature
W2006342812,article,0,"Roland Barthes, Lionel Duisit",1975,An introduction to the structural analysis of narrative,New Literary History
W2316256104,article,0,"Charles W. O’Brien, David Bordwell, Edward Branigan",1986,Narration in the fiction film,Substance
W2983866647,article,1,"Charlotte Olivia Brand, Alberto Acerbi, Alex Mesoudi",2019,Cultural evolution of emotional expression in 50 years of song lyrics,Evolutionary Human Sciences
W1978733802,article,0,"William F. Brewer, Edward Lichtenstein",1982,Stories are to entertain: a structural-affect theory of stories,Journal Of Pragmatics
W2062221385,article,1,Jeremy G. Butler,2014,Statistical analysis of television style: what can numbers tell us about tv editing?,Cinema Journal
W2036937632,article,0,"Timothy R. Austin, Seymour Chatman",1979,Story and discourse: narrative structure in fiction and film,Journal Of Aesthetics And Art Criticism
W4409415867,article,0,Imogen Clarke,1997,"Future-war fiction: the first main phase, 1871-1900",Science Fiction Studies
W2325697621,article,1,"James E. Cutting, Ayşe Candan Şimşek",2015,"Shot durations, shot classes, and the increased pace of popular movies",Projections
W3177805648,article,1,George A. Kennedy,1992,A hoot in the dark: the evolution of general rhetoric,Philosophy And Rhetoric
W2085624491,article,1,"Kimmo Eriksson, Julie C. Coultas",2014,"Corpses, maggots, poodles and rats: emotional selection operating in three phases of cultural transmission of urban legends",Journal Of Cognition And Culture
W2088155153,article,0,"George Whalley, Northrop Frye",1959,Anatomy of criticism: four essays,The Modern Language Review
W2769358515,article,1,"Nikhil Garg, Londa Schiebinger, Dan Jurafsky, James Zou",2018,Word embeddings quantify 100 years of gender and ethnic stereotypes,Proceedings Of The National Academy Of Sciences
W2053734545,book,1,"M. L. Gasparov, George S. Smith, Marina Tarlinskaja",1996,A history of european versification,Oxford University Press Ebooks
W2318445408,article,0,"Steven Ungar, Gérard Genette, Jane E. Lewin, Josué V. Harari",1980,Narrative discourse: an essay in method,Substance
W2737047553,article,0,"Russell D. Gray, Joseph Watts",2017,Cultural macroevolution matters,Proceedings Of The National Academy Of Sciences
W1986837475,article,0,"Matthew W. Hahn, R. Alexander Bentley",2003,Drift as a mechanism for cultural change: an example from baby names,Proceedings Of The Royal Society B Biological Sciences
W2316206383,article,1,Elemér Hankiss,1972,The structure of literary evolution,Poetics
W2161976355,article,0,"Uri Hasson, Ohad Landesman, B Knappmeyer, Ignacio Vallines, Nava Rubin, David J. Heeger",2008,Neurocinematics: the neuroscience of film,Projections
W1996247000,article,1,"Hans Hoeken, Mario van Vliet",2000,"Suspense, curiosity, and surprise: how discourse structure influences the affective and cognitive processing of a story",Poetics
W2047880469,article,1,"James M. Hughes, Nicholas J. Foti, David C. Krakauer, Daniel N. Rockmore",2012,Quantitative patterns of stylistic influence in the evolution of literature,Proceedings Of The National Academy Of Sciences
W2057292322,article,0,"Anne Kandler, Stephen Shennan",2013,A non-equilibrium neutral model for analysing cultural change,Journal Of Theoretical Biology
W2590126804,article,0,"Kayvan Kousha, Mike Thelwall, Mahshid Abdoli",2017,Goodreads reviews to assess the wider impacts of books,Journal Of The Association For Information Science And Technology
W4211055560,review,0,"Armand M. Leroi, Ben Lambert, James Rosindell, Xiangyu Zhang, Giorgos D. Kokkoris",2020,Neutral syndrome,Nature Human Behaviour
W3134958513,preprint,1,"Lu Liu, Nima Dehmamy, Jillian Chown, C. Lee Giles, Dashun Wang",2021,"Understanding the onset of hot streaks across artistic, cultural, and scientific careers",Nature Communications
W2808505390,article,1,"Lu Liu, Yang Wang, Roberta Sinatra, C. Lee Giles, Chaoming Song, Dashun Wang",2018,"Hot streaks in artistic, cultural, and scientific careers",Nature
W2160269795,review,0,George Loewenstein,1994,The psychology of curiosity: a review and reinterpretation.,Psychological Bulletin
W2124694863,article,1,"Jeffrey Loewenstein, Chip Heath",2009,The repetition‐break plot structure: a cognitive influence on selection in the marketplace of ideas,Cognitive Science
W2020014808,article,1,"Jeremy Montagu, Alan Lomax, Edwin E. Erickson",1969,Folk song style and culture.,Man
W2061184313,article,0,"George M. Wilson, Christian Metz, Michael Taylor",1974,Film language: a semiotics of the cinema.,Mln
W3136658954,article,1,"Rémi Clignet, Colin Martindale",1991,The clockwork muse: the predictability of artistic change.,Contemporary Sociology A Journal Of Reviews
W2808453012,review,0,"Alex Mesoudi, Alex Thornton",2018,What is cumulative cultural evolution?,Proceedings Of The Royal Society B Biological Sciences
W4414176514,article,1,Franco Moretti,2000,Conjectures on world literature,New Left Review
W1992750615,article,1,Franco Moretti,2000,The slaughterhouse of literature,Modern Language Quarterly
W1604638557,article,1,Franco Moretti,2006,"Graphs, maps, trees: abstract models for a literary history",Choice Reviews Online
W2339562889,article,0,"Stefan Jänicke, Greta Franzini, Muhammad Faisal Cheema, Gerik Scheuermann",2015,On close and distant reading in digital humanities: a survey and future challenges,Eurographics
W2558450723,article,1,"Olivier Morin, Alberto Acerbi",2016,Birth of the cool: a two-centuries decline in emotional expression in anglophone fiction,Cognition & Emotion
W4220678635,article,1,"Nicolas Baumard, Élise Huillery, Alexandre Hyafil, Lou Safra",2022,The cultural evolution of love in literary history,Nature Human Behaviour
W1555328317,article,0,Martin H. Levinson,2006,Not by genes alone: how culture transformed human evolution,Et Cetera
W4406106082,article,1,Peter Robinson,2024,"Philipp roelli, ed., handbook of stemmatology: history, methodology, digital approaches",Variants
W2147453867,article,1,"Matthew Salganik, Peter Sheridan Dodds, Duncan J. Watts",2006,Experimental study of inequality and unpredictability in an artificial cultural market,Science
W3201530147,article,1,"Artjoms Šeļa, Petr Plecháč, Alie Lassche",2022,Semantics of european poetry is shaped by conservative forces: the relationship between poetic meter and meaning in accentual-syllabic verse,Plos One
W3105745693,book-chapter,1,"Hans Günther, Karoline Thaidigsmann",2020,"Šklovskij, viktor: o teorii prozy",J.b. Metzler Ebooks
W3031481612,article,0,"Edward Slingerland, Quentin D. Atkinson, Carol R. Ember, Oliver Sheehan, Michael Muthukrishna, Joseph Bulbulia, Russell D. Gray",2020,Coding culture: challenges and recommendations for comparative cultural databases,Evolutionary Human Sciences
W2913135665,dissertation,1,Oleg Sobchuk,2018,Charting artistic evolution: an essay in theory,Dspace Repository (University Of Tartu)
W3082735618,article,1,"Oleg Sobchuk, Peeter Tinits",2020,Cultural attraction in film evolution: the case of anachronies,Journal Of Cognition And Culture
W2592517730,article,1,"Joseph Stubbersfield, Jamshid J. Tehrani, Emma Flynn",2017,Chicken tumours and a fishy revenge: evidence for emotional content bias in the cumulative recall of urban legends,Journal Of Cognition And Culture
W4389073855,article,1,Isabel Jacobs,2022,"Yuri tynianov: permanent evolution. Selected essays on literature, theory and film",Doaj (Doaj: Directory Of Open Access Journals)
W2801653229,article,0,"Arthur K. Moore, Boris Uspensky, Valentina Zavarin, Susan Wittig",1974,A poetics of composition: the structure of the artistic text and typology of a compositional form,Journal Of Aesthetics And Art Criticism
W2154674172,article,0,"Max Wasserman, Xiao Han T. Zeng, Luı́s A. Nunes Amaral",2015,Cross-evaluation of metrics to estimate the significance of creative works,Proceedings Of The National Academy Of Sciences
W3146002511,review,0,"Eugen Wassiliwizky, Winfried Menninghaus",2021,Why and how should cognitive science care about aesthetics?,Trends In Cognitive Sciences
W2527653252,article,0,Ohid Yaqub,2017,Serendipity: towards a taxonomy and a theory,Research Policy
W2120191631,article,0,"Panagiotis K. Marhavilas, Dimitrios E. Koulouriotis, V. Gemeni",2011,"Risk analysis and assessment methodologies in the work sites: on a review, classification and comparative study of the scientific literature of the period 2000–2009",Journal Of Loss Prevention In The Process Industries
W2918336816,article,1,Boris I. Yarkho,2019,Speech distribution in five-act tragedies (a question of classicism and romanticism),Journal Of Literary Theory
W2895387395,article,0,"Mason Youngblood, David C. Lahti",2018,A bibliometric analysis of the interdisciplinary field of cultural evolution,Palgrave Communications
W351613766,book,0,Lisa Zunshine,2015,The oxford handbook of cognitive literary studies,Oxford University Press Ebooks
W2171848742,article,0,"Alberto Acerbi, Alex Mesoudi",2015,If we are all cultural darwinians what’s the fuss about? Clarifying recent disagreements in the field of cultural evolution,Biology & Philosophy
W2514159095,article,0,list(,2016,I am error: the nintendo family computer/entertainment system platform,Choice Reviews Online
W3200438004,article,0,Paul Atkinson,2021,Atari design: impressions on coin-operated video game machines,Journal Of Design History
W2101871131,book,0,George Basalla,1989,The evolution of technology,Cambridge University Press Ebooks
W2111925413,article,0,"Nicolas Claidière, Thomas C. Scott‐Phillips, Dan Sperber",2014,How darwinian is cultural evolution?,Philosophical Transactions Of The Royal Society B Biological Sciences
W4399247221,review,0,"Salva Duran‐Nebreda, R. Alexander Bentley, Blai Vidiella, Andrej Spiridonov, Niles Eldredge, Michael J. O’Brien, Sergi Valverde",2024,On the multiscale dynamics of punctuated evolution,Trends In Ecology & Evolution
W4392751281,article,0,"Magnus Enquist, Fredrik Jansson, Stefano Ghirlanda, Jérôme Michaud",2024,Cultural traits operating in senders are driving forces of cultural evolution,Proceedings Of The Royal Society B Biological Sciences
W2913694584,article,0,Lisa A. Gilbert,2019,“ <i>assassin’s creed</i> reminds us that history is human experience”: students’ senses of empathy while playing a narrative video game,Theory & Research In Social Education
W2039173300,article,0,"Russell D. Gray, Simon J. Greenhill, Robert M. Ross",2007,The pleasures and perils of darwinizing culture (with phylogenies),Biological Theory
W2255750102,article,0,list(,2016,"The secret of our success: how culture is driving human evolution, domesticating our species, and making us smarter",Choice Reviews Online
W2091416687,article,0,"Joseph Henrich, Francisco Gil-White",2001,The evolution of prestige: freely conferred deference as a mechanism for enhancing the benefits of cultural transmission,Evolution And Human Behavior
W2171817276,article,0,"Qing Ke, Emilio Ferrara, Filippo Radicchi, Alessandro Flammini",2015,Defining and identifying sleeping beauties in science,Proceedings Of The National Academy Of Sciences
W2523565168,article,0,"Schaefer, Matt",2016,Coin-operated americans: rebooting boyhood at the video game arcade,Choice Reviews Online
W1968995439,article,0,Stephen Parsons,1992,Explaining technology and society the problem of nature in habermas,Philosophy Of The Social Sciences
W2100481139,article,0,Henry Lowood,2009,Videogames in computer space: the complex history of pong,Ieee Annals Of The History Of Computing
W2327256356,article,0,David Thomas Murphy,2013,Hacking public memory,Games And Culture
W3112478651,article,0,"Ralph E. Chapman, George R. McGhee",1999,Theoretical morphology: the concept and its applications,Palaios
W4931210,article,0,"Alex Mesoudi, Michael J. O’Brien",2008,The cultural transmission of great basin projectile-point technology i: an experimental simulation,American Antiquity
W613058852,article,0,"Nick Montfort, Ian Bogost",2009,Racing the beam: the atari video computer system,Choice Reviews Online
W2910039422,article,0,Anastasia Salter,2017,Atari age: the emergence of video games in america,American Journal Of Play
W3175338865,article,0,Michael Nagenborg,2005,Handbook of computer game studies,The International Review Of Information Ethics
W2960753975,preprint,1,"Ricard V. Solé, Sergi Valverde",2020,"Evolving complexity: how tinkering shapes cells, software and ecological networks",Philosophical Transactions Of The Royal Society B Biological Sciences
W2081283717,article,1,"Ricard V. Solé, Sergi Valverde, Marti Rosas Casals, Stuart Kauffman, Doyne Farmer, Niles Eldredge",2013,The evolutionary ecology of technological innovations,Complexity
W4321503587,article,0,"Luke C. Strotz, Bruce S. Lieberman",2023,The end of the line: competitive exclusion and the extinction of historical entities,Royal Society Open Science
W4200488847,article,0,"Peter Turchin, Sergey Gavrilets",2021,Tempo and mode in cultural macroevolution,Evolutionary Psychology
W3029731309,article,0,Sergi Valverde,2020,The long and winding road: accidents and tinkering in software standardization,Mètode Revista De Difusió De La Investigació
W2105630660,book,0,Urie Bronfenbrenner,1979,The ecology of human development : experiments by nature and design,Digitalgeorgetown (Georgetown University Library)
W2295049550,article,0,"Sergi Valverde, Ricard V. Solé",2015,Punctuated equilibrium in the large-scale evolution of programming languages <sup />,Journal Of The Royal Society Interface
W3159779206,review,0,"Hanzhi Zhang, Ruth Mace",2021,Cultural extinction in evolutionary perspective,Evolutionary Human Sciences
W1480979729,book,0,"Rusel DeMaria, Johnny Wilson",2002,High score!: the illustrated history of electronic games,Medical Entomology And Zoology
W1845279108,article,1,"Lorenzo Bartalesi, Mariagrazia Portera",2015,Beyond the nature-culture dichotomy: a proposal for evolutionary aesthetics,Doaj (Doaj: Directory Of Open Access Journals)
W3119679423,article,1,"Adam Brumm, Adhi Agus Oktaviana, Basran Burhan, Budianto Hakim, Rustan Lebe, Jian‐xin Zhao, Priyatno Hadi Sulistyarto, Marlon Ririmasse, Shinatria Adhityatama, Iwan Sumantri, Maxime Aubert",2021,Oldest cave art found in sulawesi,Science Advances
W2597325532,article,0,Andrew Buskell,2017,What are cultural attractors?,Biology & Philosophy
W2428424671,review,0,"Mark Collard, Krist Vaesen, Richard A. Cosgrove, Wil Roebroeks",2016,The empirical case against the ‘demographic turn’ in palaeolithic archaeology,Philosophical Transactions Of The Royal Society B Biological Sciences
W2276479082,review,1,"Raymond Corbey, Adam Jagich, Krist Vaesen, Mark Collard",2016,The acheulean handaxe: more like a bird's song than a beatles' tune?,Evolutionary Anthropology Issues News And Reviews
W2161899020,article,0,"ダーウィン チャールス, 田中 茂穂",1907,The descent of man and selection in relation to sex,Tokyo Jinrui Gakkai Zasshi
W4236688561,book,1,Stephen Davies,2012,The artful species,Oxford University Press Ebooks
W1480274628,book,1,Ellen Dissanayake,1992,Homo aestheticus: where art comes from and why,Project Muse (Johns Hopkins University)
W2101758500,review,1,W. Tecumseh Fitch,2006,The biology and evolution of music: a comparative perspective,Cognition
W2110189850,article,1,W. Tecumseh Fitch,2015,Four principles of bio-musicology,Philosophical Transactions Of The Royal Society B Biological Sciences
W2899748628,article,1,"Samuel P. Fraiberger, Roberta Sinatra, Magnus Resch, Christoph Riedl, Albert‐László Barabási",2018,Quantifying reputation and success in art,Science
W2754429359,article,1,"Gerardo Gómez-Puerto, Jaume Rosselló, Guido Corradi, Cristina Acedo‐Carmona, Enric Munar, Marcos Nadal",2017,Preference for curved contours across cultures.,Psychology Of Aesthetics Creativity And The Arts
W2963786119,article,1,"Carmen Granito, Jamshid J. Tehrani, Jeremy Kendal, Thom Scott‐Phillips",2019,Style of pictorial representation is shaped by intergroup contact,Evolutionary Human Sciences
W2038897574,article,1,"Edward H. Hagen, Gregory A. Bryant",2003,Music and dance as a coalition signaling system,Human Nature
W1989581113,article,1,"Edward H. Hagen, Peter Hammerstein",2009,"Did neanderthals and other early humans sing? Seeking the biological roots of music in the territorial advertisements of primates, lions, hyenas, and wolves",Musicae Scientiae
W2330349018,article,0,Joseph Henrich,2004,Demography and cultural evolution: how adaptive cultural processes can produce maladaptive losses—the tasmanian case,American Antiquity
W2124221192,article,1,"Derek Hodgson, Benjamin Watson",2015,The visual brain and the early depiction of animals in europe and southeast asia,World Archaeology
W3110323065,article,1,"Richard J. Johnson, Miguel A. Lanaspa, John W. Fox",2020,Upper paleolithic figurines showing women with obesity may represent survival symbols of climatic change,Obesity
W2127430586,article,1,"Marek Kohn, Steven Mithen",1999,Handaxes: products of sexual selection?,Antiquity
W2115997727,review,0,"Kevin N. Laland, Gillian R. Brown",2006,"Niche construction, human behavior, and the adaptive-lag hypothesis",Evolutionary Anthropology Issues News And Reviews
W3183935803,article,0,"Katharine MacDonald, Fulco Scherjon, Eva van Veen, Krist Vaesen, Wil Roebroeks",2021,Middle pleistocene fire use: the first signal of widespread cultural diffusion in human evolution,Proceedings Of The National Academy Of Sciences
W2004510715,review,0,"Sally McBrearty, Alison S. Brooks",2000,The revolution that wasn't: a new interpretation of the origin of modern human behavior,Journal Of Human Evolution
W1987381021,book,1,Steven Mithen,1996,"The prehistory of the mind: a search for the origins of art, religion and science",Medical Entomology And Zoology
W3034345886,article,1,"Helena Miton, Dan Sperber, Mikołaj Hernik",2020,A forward bias in human profile‐oriented portraits,Cognitive Science
W1971618918,article,1,Olivier Morin,2013,How portraits turned their eyes upon us: visual preferences and demographic change in cultural evolution,Evolution And Human Behavior
W2022111034,article,0,"Joshua New, Leda Cosmides, John Tooby",2007,"Category-specific attention for animals reflects ancestral priorities, not expertise",Proceedings Of The National Academy Of Sciences
W2898432261,article,0,Hee‐Jeong Yoo,2018,The death of expertise: the campaign against established knowledge and why it matters,Journal Of Korean Academy Of Child And Adolescent Psychiatry
W2149212390,article,0,"Adam Powell, Stephen Shennan, Mark Thomas",2009,Late pleistocene demography and the appearance of modern human behavior,Science
W1917995620,article,1,"Gauri R. Pradhan, Carel P. van Schaik",2009,Why do females find ornaments attractive? The coercion-avoidance hypothesis,Biological Journal Of The Linnean Society
W2150774878,article,1,Richard O. Prum,2013,Coevolutionary aesthetics in human and biotic artworlds,Biology & Philosophy
W2048956452,article,1,David A. Puts,2010,Beauty and the beast: mechanisms of sexual selection in humans,Evolution And Human Behavior
W2012878790,article,0,"Peter J. Richerson, Robert Boyd, Joseph Henrich",2010,Gene-culture coevolution in the age of genomics,Proceedings Of The National Academy Of Sciences
W3087887967,article,0,"Lou Safra, Coralie Chevallier, Julie Grèzes, Nicolas Baumard",2020,Tracking historical changes in perceived trustworthiness in western europe using machine learning analyses of facial cues in paintings,Nature Communications
W2145548908,article,0,"Thomas C. Scott‐Phillips, Thomas E. Dickins, Stuart A. West",2011,Evolutionary theory and the ultimate–proximate distinction in the human behavioral sciences,Perspectives On Psychological Science
W1972604337,article,1,Eveline Seghers,2014,Cross-species comparison in the evolutionary study of art: a cognitive approach to the ape art debate,Review Of General Psychology
W2384983980,article,1,Evelyne Seghers,2016,Proximate and ultimate factors in evolutionary thinking on art,Human Ethology
W2127150322,article,1,Stephen Shennan,2001,Demography and cultural innovation: a model and its implications for the emergence of modern human culture,Cambridge Archaeological Journal
W2127192066,review,0,"Dan Sperber, Lawrence A. Hirschfeld",2003,The cognitive foundations of cultural stability and diversity,Trends In Cognitive Sciences
W2586893780,article,0,Kim Sterelny,2017,Cultural evolution in california and paris,Studies In History And Philosophy Of Science Part C Studies In History And Philosophy Of Biological And Biomedical Sciences
W3129094832,review,1,"Alexis De Tiège, Jan Verpooten, Johan Braeckman",2021,From animal signals to art: manipulative animal signaling and the evolutionary foundations of aesthetic behavior and art production,The Quarterly Review Of Biology
W2336529945,article,0,"Krist Vaesen, Mark Collard, Richard A. Cosgrove, Wil Roebroeks",2016,Population size does not explain past changes in cultural complexity,Proceedings Of The National Academy Of Sciences
W4365147617,article,1,"Jan Verpooten, Sarah Delcourt, Siegfried Dewitte",2023,"Do prestige and animacy matter to art experts? Exploring social learning, signaling, perceptual, and cognitive explanations",Empirical Studies Of The Arts
W2528011655,article,1,"Jan Verpooten, Siegfried Dewitte",2016,The conundrum of modern art,Human Nature
W2030672361,article,1,"Jan Verpooten, M. Nelissen",2010,Sensory exploitation and cultural transmission: the late emergence of iconic representations in human evolution,Theory In Biosciences
W3136068637,article,1,"Richard Walker, Anders Eriksson, Camille Ruiz, Taylor Newton, Francesco Casalegno",2021,Stabilization of cultural innovations depends on population density: testing an epidemiological model of cultural evolution against a global dataset of rock art sites and climate-based estimates of ancient population densities,Plos One
W3044183127,preprint,0,"Himan Abdollahpouri, Masoud Mansoury, Robin Burke, Bamshad Mobasher",2022,Addressing the multistakeholder impact of popularity bias in recommendation through calibration,Arxiv (Cornell University)
W2006454472,article,0,Kathleen A. Abromeit,2012,Association for cultural equity,Music Reference Services Quarterly
W2003902966,article,1,"Alberto Acerbi, R. Alexander Bentley",2014,Biases in cultural transmission shape the turnover of popular traits,Evolution And Human Behavior
W3213364333,article,0,"Alberto Acerbi, Mathieu Charbonneau, Helena Miton, Thom Scott‐Phillips",2021,Culture without copying or selection,Evolutionary Human Sciences
W1977332720,article,1,"Alberto Acerbi, Stefano Ghirlanda, Magnus Enquist",2012,The logic of fashion cycles,Plos One
W3026417626,article,1,"Gabriel Aguirre‐Fernández, Damián E. Blasí, Marcelo R. Sánchez‐Villagra",2020,Panpipes as units of cultural analysis and dispersal,Evolutionary Human Sciences
W1988235481,article,1,"Joshua Albrecht, David Huron",2012,"A statistical approach to tracing the historical development of major and minor pitch distributions, 1400-1750",Music Perception An Interdisciplinary Journal
W2750225105,article,1,"Manuel Anglada-Tort, Daniel Müllensiefen",2017,The repeated recording illusion,Music Perception An Interdisciplinary Journal
W2906214917,article,0,"Emmanouil Benetos, Simon Dixon, Zhiyao Duan, Sebastian Ewert",2018,Automatic music transcription: an overview,Ieee Signal Processing Magazine
W2148347530,article,1,"R. Alexander Bentley, Carl P. Lipo, Harold A. Herzog, Matthew W. Hahn",2007,Regular rates of popular culture change reflect random copying,Evolution And Human Behavior
W1556219185,article,0,"Thierry Bertin-Mahieux, Daniel P. W. Ellis, Brian Whitman, Paul Lamere",2017,The million song dataset,Columbia Academic Commons (Columbia University)
W2033642053,article,0,"Robert R. McCrae, Paul T. Costa",1997,Personality trait structure as a human universal.,American Psychologist
