"","doi","title"
"452",NA,"adventure, mystery, and romance: formula stories as art and popular culture"
"453",NA,"story and discourse: narrative structure in fiction and film"
"454",NA,"future-war fiction: the first main phase, 1871-1900"
"455",NA,"movies on our minds: the evolution of cinematic engagement"
"456","10.1068/i0441aap",NA
"457","10.3167/proj.2015.090204","shot durations, shot classes, and the increased pace of popular movies"
"458",NA,"a general rhetoric"
"459","10.1163/15685373-12342107","corpses, maggots, poodles and rats: emotional selection operating in three phases of cultural transmission of urban legends"
"460",NA,"anatomy of criticism"
"461","10.1073/pnas.1720347115","word embeddings quantify 100 years of gender and ethnic stereotypes"
"462",NA,"a history of european versification"
"463",NA,"narrative discourse: an essay in method"
"464",NA,"cultural macroevolution matters"
"465","10.1098/rsbl.2003.0045","drift as a mechanism for cultural change: an example from baby names"
"466",NA,"the structure of literary evolution"
"467","10.3167/proj.2008.020102","neurocinematics: the neuroscience of film"
"468","10.1016/S0304-422X(99)00021-2","suspense, curiosity, and surprise: how discourse structure influences the affective and cognitive processing of a story"
"469",NA,"quantitative patterns of stylistic influence in the evolution of literature"
"470",NA,"press room"
"471","10.1016/j.jtbi.2013.03.006","a non-equilibrium neutral model for analysing cultural change"
"472","10.1002/asi.23805","goodreads reviews to assess the wider impacts of books"
"473",NA,"handbook of empirical literary studies"
"474","10.1038/s41562-020-0844-7","neutral syndrome"
"475","10.1038/s41467-021-25477-8","understanding the onset of hot streaks across artistic, cultural, and scientific careers"
"476","10.1038/s41586-018-0315-8","hot streaks in artistic, cultural, and scientific careers"
"477","10.1037/0033-2909.116.1.75","the psychology of curiosity: a review and reinterpretation"
"478","10.1111/j.1551-6709.2008.01001.x","the repetition-break plot structure: a cognitive influence on selection in the marketplace of ideas"
"479",NA,"folk song style and culture"
"480",NA,"literaturovedenie dolzhno but naukoj"
"481",NA,"semiotics of cinema"
"482",NA,"the clockwork muse: the predictability of artistic change"
"483","10.1073/pnas.2009571117","the rise of prosociality in fiction preceded democratic revolutions in early modern europe"
"485","10.1098/rspb.2018.0712","what is cumulative cultural evolution? proceedings of the royal society b"
"486",NA,"conjectures on world literature"
"487",NA,"the slaughterhouse of literature"
"488",NA,"graphs, maps, trees: abstract models for a literary history"
"489",NA,"distant reading"
"490","10.1080/02699931.2016.1260528","birth of the cool: a two-centuries decline in emotional expression in anglophone fiction"
"491","10.1017/9781108890861","technologies of the novel: quantitative data and the evolution of literary systems"
"492",NA,"evolution and literary history"
"493",NA,"not by genes alone: how culture transformed human evolution"
"494",NA,"handbook of stemmatology history, methodology, digital approaches"
"495","10.1126/science.1121066","experimental study of inequality and unpredictability in an artificial cultural market"
"496","10.1371/journal.pone.0266556","semantics of european poetry is shaped by conservative forces: the relationship between poetic meter and meaning in accentualsyllabic verse"
"497",NA,"o teorii prozy"
"498","10.1017/ehs.2020.30","coding culture: challenges and recommendations for comparative cultural databases"
"499",NA,"charting artistic evolution: an essay in theory"
"500",NA,"cultural attraction in film evolution: the case of anachronies"
"501","10.1163/15685373-12342189","chicken tumours and a fishy revenge: evidence for emotional content bias in the cumulative recall of urban legends"
"502",NA,"emotion and the structure of narrative film: film as emotion machine"
"504","10.1515/9781644690635","permanent evolution: selected essays on literature, theory and film"
"505",NA,"distant horizons: digital evidence and literary change"
"506",NA,"a poetics of composition"
"507",NA,"the types of international folktales: a classification and bibliography, based on the system of antti aarne and stith thompson"
"508",NA,"istoricheskaia poetika"
"509",NA,"cross-evaluation of metrics to estimate the significance of creative works"
"510","10.1016/j.tics.2021.03.008","why and how should cognitive science care about aesthetics?"
"511",NA,"the concept of evolution in literary history"
"512","10.1016/j.respol.2017.10.007","serendipity: towards a taxonomy and a theory"
"513",NA,"the methodology of scientific study of literature"
"514","10.1515/jlt-2019-0002","speech distribution in five-act tragedies (a question of classicism and romanticism"
"515",NA,"a bibliometric analysis of the interdisciplinary field of cultural evolution"
"516",NA,"the oxford handbook of cognitive literary studies"
"517",NA,"if we are all cultural darwinians what’s the fuss about? clarifying recent disagreements in the field of cultural evolution"
"518",NA,"i am error: the nintendo family computer/entertainment system platform"
"520",NA,"atari design: impressions on coin-operated video game machines"
"521",NA,"experimental evolution of evolvability"
"522",NA,"the evolution of technology"
"523","10.31234/osf","opening strategies in the game of go from feudalism to superhuman ai"
"526","10.1890/03-9000","toward a metabolic theory of ecology"
"527",NA,"how darwinian is cultural evolution?"
"528",NA,"parallel causation in oncogenic and anthropogenic degradation and extinction"
"529",NA,"on the multiscale dynamics of punctuated evolution"
"531",NA,"the natural evolution of computing"
"532",NA,"untangling herdan’s law and heaps’ law: mathematical and informetric arguments"
"533",NA,"alternative approaches to evolutionary theory"
"534",NA,"unfinished synthesis: biological hierarchies and modern evolutionary thought"
"535",NA,"living fossils: introduction to the casebook"
"536",NA,"cultural traits operating in senders are driving forces of cultural evolution"
"537",NA,"a universal power law for modelling the growth and form of teeth, claws, horns, thorns, beaks, and shells"
"538",NA,"assassin’s creed reminds us that history is human experience"": students’ senses of empathy while playing a narrative video game"
"539",NA,"the origin and function of ’bizarre’ structures: antler size and skull size in the ’irish elk"
"540",NA,"the pleasures and perils of darwinizing culture (with phylogenies"
"541",NA,"the secret of our success: how culture is driving human evolution, domesticating our species, and making us smarter"
"542",NA,"the evolution of prestige: freely conferred deference as a mechanism for enhancing the benefits of cultural transmission"
"543",NA,"the product space conditions the development of nations"
"544",NA,"half-real: video games between real rules and fictional worlds"
"545",NA,"homeostasis and differentiation in random genetic control networks"
"546",NA,"defining and identifying sleeping beauties in science"
"547",NA,"the ultimate history of video games, volume 1: from pong to pokemon and beyond... the story behind the craze that touched our lives and changed the world"
"548",NA,"coin-operated americans: rebooting boyhood at the video game arcade"
"549",NA,"explaining technology"
"551",NA,"the rise and fall of species: implications for macroevolutionary and macroecological studies"
"552",NA,"identifying heterogeneity in rates of morphological evolution: discrete character change in the evolution of lungfish (sarcopterygii; dipnoi"
"553",NA,"videogames in computer space: the complex history of pong"
"554",NA,"multiple arcade machine emulator"
"555",NA,"atari acts in an attempt to scuttle software pirates"
"556",NA,"theoretical morphology: the concept and its applications"
"558",NA,"cultural evolution of football tactics: strategic social learning in managers’ choice of formation"
"559",NA,"the cultural transmission of great basin projectile-point technology i: an experimental simulation"
"560",NA,"racing the beam: the atari video computer system"
"561",NA,"atari age: the emergence of video games in america"
"562",NA,"handbook of computer game studies"
"563",NA,"ehat are patterns of rise and decline?"
"564",NA,"theoretical morphology of the coiled shell"
"565",NA,"eords as alleles: connecting language evolution with bayesian learners to models of genetic drift"
"566",NA,"first-mover advantage in music"
"567",NA,"evolving complexity: how tinkering shapes cells, software and ecological networks"
"568",NA,"the evolutionary ecology of technological innovations"
"570",NA,"the bretskyan hierarchy, multiscale allopatry, and geobiomes—on the nature of evolutionary things"
"571",NA,"a theory of evolution above the species level"
"572",NA,"the end of the line: competitive exclusion and the extinction of historical entities"
"574",NA,"inspecting video game historiography through critical lens: etymology of the first-person shooter genre"
"575",NA,"the fantastic: a structural approach to a literary genre [originally published in french as introduction à la littérature fantastique (1970"
"576",NA,"tempo and mode in cultural macroevolution"
"577",NA,"the long and winding road: accidents and tinkering in software standardization"
"578",NA,"on the nature of design"
"579",NA,"punctuated equilibrium in the large-scale evolution of programming languages"
"581",NA,"individuals, hierarchies and processes: towards a more complete evolutionary theory"
"582","10.1126/science.276.5309.122","a general model for the origin of allometric scaling laws in biology"
"583",NA,"cultural extinction in evolutionary perspective"
"584",NA,"reconciling taxon senescence with the red queen’s hypothesis"
"585",NA,"another across arcade systems"
"586","10.1016/j.evolhumbehav.2017.03.005","thanks to editor jamie tehrani, a reviewer, and onerva kiianlinna for their useful comments"
"587","10.13128/Aisthesis-16209","beyond the nature-culture dichotomy: a proposal for evolutionary aesthetics"
"590",NA,"the arts are more than aesthetics: neuroaesthetics as narrow aesthetics"
"591","10.1126/sciadv.abd4648","oldest cave art found in sulawesi"
"592","10.1007/s10539-017-9570-6","what are cultural attractors?"
"593","10.1098/rstb.2015.0242","the empirical case against the ‘demographic turn’ in palaeolithic archaeology"
"594","10.1002/evan.21467","the acheulean handaxe: more like a birds song than a beatles tune?"
"595","10.1098/rspb.2021.0225","loss of vocal culture and fitness costs in a critically endangered songbird"
"596",NA,"the descent of man, and selection in relation to sex"
"597",NA,"the artful species"
"598",NA,"animal signals: information or manipulation"
"599",NA,"the rise and fall of the third chimpanzee"
"600",NA,"homo aestheticus: where art comes from and why"
"601","10.1016/j.cognition.2005.11.009","the biology and evolution of music: a comparative perspective"
"602","10.1098/rstb.2014.0091","four principles of bio-musicology"
"603","10.1126/science.aau7224","quantifying reputation and success in art"
"604","10.1037/aca0000135","preference for curved contours across cultures"
"605","10.1017/ehs.2019.8","style of pictorial representation is shaped by intergroup contact"
"606","10.1007/s12110-003-1015-z","music and dance as a coalition signaling system"
"607","10.1177/1029864909013002131","did neanderthals and other early humans sing? seeking the biological roots of music in the territorial advertisements of primates, lions, hyenas, and wolves"
"608",NA,"demography and cultural evolution: how adaptive cultural processes can produce maladaptive losses: the tasmanian case"
"609",NA,"secret of our success: how culture is driving human evolution, domesticating our species, and making us smarter"
"610","10.1016/S1090-5138(00)00071-4","the evolution of prestige: freely conferred deference as a mechanism for enhancing the benefits of cultural transmission"
"611","10.1080/00438243.2015.1074871","the visual brain and the early depiction of animals in europe and southeast asia"
"612","10.1111/evo.14489","modeling how population size drives the evolution of birdsong, a functional cultural trait"
"613","10.2326/osj.5.5","selection for and against vocal learning in birds and mammals"
"614","10.1057/s41599-019-0228-7","prestige-biased social learning: current evidence and outstanding questions"
"615","10.1002/oby.23028","upper paleolithic figurines showing women with obesity may represent survival symbols of climatic change"
"616","10.1017/S0003598X00065078","handaxes: products of sexual selection?"
"617","10.1126/science.1210879","cause and effect in biology revisited: is mayrs proximate-ultimate dichotomy still useful?"
"618","10.1002/evan.20093","niche construction, human behavior, and the adaptive-lag hypothesis"
"619","10.1073/PNAS.2101108118","middle pleistocene fire use: the first signal of widespread cultural diffusion in human evolution"
"620",NA,"animal signals"
"621","10.1006/jhev.2000.0435","the revolution that wasn’t: a new interpretation of the origin of modern human behavior"
"622","10.1525/aa.2001.103.4.1196","the mating mind: how sexual choice shaped the evolution of the human nature"
"623",NA,"the prehistory of the mind: a search for the origins of art, religion, and science"
"624","10.1111/cogs.12866","a forward bias in human profile-oriented portraits"
"625","10.1016/j.evolhumbehav.2013.01.004","how portraits turned their eyes upon us: visual preferences and demographic change in cultural evolution"
"626","10.1073/pnas.0703913104","category-specific attention for animals reflects ancestral priorities, not expertise"
"627",NA,"the death of expertise: the campaign against established knowledge and why it matters"
"628","10.1098/rsos.190719","loss of cultural song diversity and the convergence of songs in a declining hawaiian forest bird community"
"629","10.1126/science.1170165","late pleistocene demography and the appearance of modern human behavior"
"630","10.1111/j.1095-8312.2008.01131.x","why do females find ornaments attractive? the coercion-avoidance hypothesis"
"631","10.1007/s10539-013-9389-8","coevolutionary aesthetics in human and biotic artworlds"
"632","10.1016/j.evolhumbehav.2010.02.005","beauty and the beast: mechanisms of sexual selection in humans"
"634","10.1073/pnas.0914631107","gene–culture coevolution in the age of genomics"
"635","10.1038/s41467-020-18566-7","tracking historical changes in trustworthiness using machine learning analyses of facial cues in paintings"
"637","10.1177/1745691610393528","evolutionary theory and the ultimate-proximate distinction in the human behavioral sciences"
"638","10.1037/gpr0000015","cross-species comparison in the evolutionary study of art: a cognitive approach to the ape art debate"
"639","10.22330/heb/311/047-059","proximate and ultimate factors in evolutionary thinking on art"
"640","10.1017/s0959774301000014","demography and cultural innovation: a model and its implications for the emergence of modern human culture"
"641","10.1016/j.tics.2003.11.002","the cognitive foundations of cultural stability and diversity"
"642","10.1016/j.shpsc.2016.12.005","cultural evolution in california and paris. studies in history and philosophy of biological and biomedical sciences"
"643","10.1038/s41467-021-22852-3","balanced imitation sustains song culture in zebra finches"
"644",NA,"from animal signals to art: manipulative animal signaling and the evolutionary foundations of aesthetic behavior and art production"
"645",NA,"duchamp: a biography"
"646",NA,"the psychological foundations of culture"
"647","10.1073/pnas.1520288113","population size does not explain past changes in cultural complexity"
"648","10.1007/978-3-319-76054-4_16","expertise affects aesthetic evolution in the domain of art: evidence from artistic fieldwork and psychological experiments"
"649","10.1007/s10539-021-09786-2","complex vocal learning and three-dimensional mating environments"
"650",NA,"do prestige and animacy matter to art experts? exploring social learning, signaling, perceptual, and cognitive explanations"
"651","10.1007/s12110-016-9274-7","the conundrum of modern art: prestige-driven coevolutionary aesthetics trumps evolutionary aesthetics among art experts"
"652",NA,"evolutionary interactions between human biology and architecture: insights from signaling theory and a cross-species comparative approach"
"653","10.1007/s12064-010-0095-7","sensory exploitation and cultural transmission: the late emergence of iconic representations in human evolution"
"654",NA,"evolutionary aesthetics"
"655","10.1371/journal.pone.0247973","stabilization of cultural innovations depends on population density: testing an epidemiological model of cultural evolution against a global dataset of rock art sites and climate-based estimates of ancient population densities"
"657",NA,"addressing the multistakeholder impact of popularity bias in recommendation through calibration"
"658","10.1080/10588167.2012.700204","association for cultural equity"
"659","10.1016/j.evolhumbehav.2014.02.003","biases in cultural transmission shape the turnover of popular traits"
"660","10.1017/ehs.2021.47","culture without copying or selection"
"661","10.1371/journal.pone.0032541","the logic of fashion cycles"
"662","10.1017/ehs.2020.15","panpipes as units of cultural analysis and dispersal"
"663","10.1525/mp.2014.31.3.223","a statistical approach to tracing the historical development of major and minor pitch distributions, 1400-1750"
"664",NA,"low-skip bias: the distribution of skips across the pitch ranges of vocal and instrumental melodies is vocally constrained"
"665","10.1145/3366423.3380281","algorithmic effects on the diversity of consumption on spotify"
"666","10.1525/mp.2017.35.1.94","the repeated recording illusion: the effects of extrinsic and individual difference factors on musical judgments"
"667","10.1109/MSP.2018.2869928","automatic music transcription: an overview"
"668","10.1016/j.evolhumbehav.2006.10.002","regular rates of popular culture change reflect random copying"
"669","10.1098/rsbl.2010.0437","experimental evidence for real-time song frequency shift in response to urban noise in a passerine bird"
"670",NA,"the million song dataset"
"671","10.3389/fpsyg.2021.629456","higher-order musical temporal structure in bird song"
"673",NA,"the ballad as song"
"674",NA,"human universals"
"675",NA,"the ‘musilanguage’ model of music evolution"
"676","10.1177/0305735611425896","universals in the world’s musics"
"677","10.1098/rspb.2013.2072","correlations in the population structure of music, genes and language"
"678","10.1525/mp.2013.31.1.32","diachronic changes in jazz harmony"
"679","10.1038/ncomms9091","multilevel animal societies can emerge from cultural transmission"
"680","10.1016/j.biocon.2011.12.021","acoustic and behavioural changes by fin whales (balaenoptera physalus) in response to shipping and airgun noise"
"681",NA,"the other classical musics: fifteen great traditions"
"682",NA,"mode classification and natural units in plainchant"
"683",NA,"vanishing languages, reincarnated as music"
"684","10.1126/science.abd5777","singing in a silent spring: birds respond to a half-century soundscape reversion during the covid-19 shutdown"
"685","10.1121/1.3562174","illusory transformation from speech to song"
"686",NA,"el compás flamenco: a phylogenetic analysis"
"687","10.1163/1568539X-00003588","zebra finches go wild! experimental cultural evolution of birdsong"
"688",NA,"antecedents of the temporal arts in early mother–infant interaction"
"689","10.1073/pnas.1406023111","overtone-based pitch selection in hermit thrush song: unexpected convergence with scale construction in human music"
"690","10.1006/anbe.2003.2081","song divergence and male dispersal among bird populations: a spatially explicit model testing the role of vocal learning"
"691","10.5921/yeartradmusi.49.2017.00xv","guest editors’ preface: speech, song, and in-between"
"692","10.1038/nature07994","de novo establishment of wild-type song culture in the zebra finch"
"693",NA,"music and language"
"694","10.1016/j.jtbi.2015.03.020","an agent-based model of dialect evolution in killer whales"
"696","10.1057/s41599-021-00858-y","viral tunes: changes in musical behaviours and interest in coronamusic predict socio-emotional coping during covid-19 lockdown"
"698","10.1038/428910a","whale-call response to masking boat noise"
"699","10.1007/s11192-017-2387-x","western classical music development: a statistical analysis of composers similarity, differentiation and evolution"
"700","10.1142/s0219525903001067","community structure in jazz"
"701","10.1103/PhysRevResearch.2.033166","arrow of time across five centuries of classical music"
"702","10.1080/17411912.2014.1003076","music endangerment: how language maintenance can help"
"703","10.1080/13527258.2014.976245","endangered musical heritage as a wicked problem"
"704","10.1126/science.10.1126/SCIENCE.1056960","the music of nature and the nature of music"
"705","10.1126/science.1106340","team assembly mechanisms determine collaboration network structure and team performance"
"706","10.1121/1.3124712","rhythmic structure in humpback whale (megaptera novaeangliae) songs: preliminary implications for song production and perception"
"707","10.3389/fpsyg.2021.684083","a crowd-sourced database of coronamusic: documenting online making and sharing of music during the covid-19 pandemic"
"708","10.1057/s41599-020-00678-6","exploring the foundations of tonality: statistical cognitive modeling of modes in the history of western classical music"
"709","10.31234/osf.io/rz6qn","spotify to let artists promote music for cut in royalty rates. the guardian"
"710",NA,"musicality as an upbeat to music: introduction and research agenda"
"711","10.1098/rstb.2014.0088","without it no music: cognition, biology and evolution of musicality"
"712","10.1098/rsos.171274","musical trends and predictability of success in contemporary songs in and out of the top charts"
"713",NA,"resolutions: definition of folk music"
"714","10.1525/MP.2020.37.3.185","cross-cultural work in music cognition: challenges, insights, and recommendations"
"715","10.1016/j.cub.2016.12.031","integer ratio priors on musical rhythm revealed cross-culturally by iterated reproduction"
"716","10.31234/osf.io/b879v","universality and cross-cultural variation in mental representations of music revealed by global comparison of rhythm priors"
"717","10.1038/s41598-020-60055-w","elites, communities and the limited benefits of mentorship in electronic music"
"718",NA,"how “fans also like"
"719","10.1371/journal.pone.0024516","complex sequencing rules of birdsong can be explained by simple hidden markov processes"
"720","10.1098/rsif.2017.0231","hierarchical temporal structure in music, speech and animal vocalizations: jazz is like a conversation, humpbacks sing like hermit thrushes"
"721","10.1098/rsif.2018.0731","fashion and art cycles are driven by counter-dominance signals of elite competition: quantitative evidence from music styles"
"722","10.31235/osf.io/659bt","the evolutionary dynamics of cultural change (as told through the birth and brutal, blackened death of metal music"
"723","10.1038/s41467-018-04728-1","cultural conformity generates extremely stable traditions in bird song"
"724","10.1111/j.1439-0310.2011.01930.x","a tradeoff between performance and accuracy in bird song learning"
"725",NA,"sense and nonsense: evolutionary perspectives on human behaviour"
"726","10.1371/journal.pone.0151570","the evolution of musical diversity: the key role of vertical transmission"
"727","10.5281/zenodo.5625680","cross-cultural mood perception in pop songs and its alignment with mood detection algorithms"
"728","10.1080/09298215.2012.668194","a phylogenetic approach to music performance analysis"
"729","10.1371/journal.pone.0058710","a statistical physics view of pitch fluctuations in the classical music from bach to chopin: evidence for scaling"
"731",NA,"factors of musical style"
"732","10.1126/science.177.4045.228","the evolutionary taxonomy of culture"
"733","10.1162/ARTL_a_00238","cultural transmission and evolution of melodic structures in multi-generational signaling games"
"734","10.1073/pnas.1203182109","evolution of music by public choice"
"735",NA,"the role of song phonology and syntax in vocal learning preferences in the song sparrow, melospiza melodia"
"736",NA,"stylistic evolution in european music"
"737","10.1126/sciadv.abd9223","exploring correlations in genetic and cultural variation across language families in northeast asia"
"738","10.1098/rsos.150081","the evolution of popular music: usa 1960–2010"
"739","10.31234/osf.io/a97x4","cross-cultural data shows musical scales evolved to maximise imperfect fifths"
"740",NA,"convergent evolution in a large cross-cultural database of musical scales"
"741","10.1177/2059204318757021","using agent-based models to understand the role of individuals in the song evolution of humpback whales (megaptera novaeangliae"
"743","10.1098/rstb.2020.0053","cultural selection and biased transformation: two dynamics of cultural evolution"
"744","10.1017/S0140525X20000345","origins of music in credible signaling"
"745","10.1126/science.aax0868","universality and diversity in human song"
"746","10.1016/j.cub.2017.12.042","form and function in human song"
"747",NA,"evolution of human music through sexual selection"
"748","10.1038/35016148","whale songs lengthen in response to sonar"
"749","10.1098/rspb.2020.2001","motor constraints influence cultural evolution of rhythm"
"750","10.1098/rsos.170433","significance and popularity in music production"
"751","10.1371/journal.pcbi.1009707","measuring context dependency in birdsong using artificial neural networks"
"752","10.1098/rspb.2018.1356","acoustic adaptation to city noise through vocal learning by a songbird"
"753","10.1525/jams.2014.67.3.735.I","evolutionary categories and musical style from adler to america"
"754","10.1038/s41598-019-52380-6","manipur’s tarao language, on the verge of extinction, is being revived through a musician’s folk project"
"755","10.1525/jpms.2018.300411","quantitative sentiment analysis of lyrics in popular music"
"756","10.1108/s0733-558x20220000077007","bustin’ out: the evolution of novelty and diversity in recorded music"
"757",NA,"response to victor grauer: on the concept of evolution in the history of ethnomusicology"
"758",NA,"the study of ethnomusicology: thirty-three discussions"
"759",NA,"comparative musicology and anthropology of music: essays on the history of ethnomusicology"
"760","10.1098/rspa.2014.0905","the evolution of air resonance power efficiency in the violin and its ancestors"
"761",NA,"the overlooked tradition of “personal music” and its place in the evolution of music"
"762","10.3389/fpsyg.2019.03051",NA
"763",NA,"algorithms of oppression"
"764","10.1017/S0140525X14001356","the cultural evolution of prosocial religions"
"765","10.1080/15405702.2019.1627548","beyond the black box in music streaming: the impact of recommendation systems upon artists"
"766","10.1371/journal.pone.0250212","cover versions as an impact indicator in popular music: a quantitative network analysis"
"767",NA,"music, language and the brain"
"768",NA,"music as a transformative technology of the mind: an update"
"769","10.1017/S0140525X20001089","where they sing solo: accounting for cross-cultural variation in collective music-making in theories of music evolution"
"770","10.1140/epjds/s13688-015-0039-z","topology and evolution of the network of western classical music compose"
"771","10.1121/1.2799904","short- and long-term changes in right whale calling behavior: the potential effects of noise on acoustic communication"
"773","10.1371/journal.pone.0115255","instrumentational complexity of music genres and why simplicity sells"
"774",NA,"how the mind works"
"775",NA,"what else do we say when we say “music evolves”?"
"776","10.1038/s41562-016-0007","musical evolution in the lab exhibits rhythmic universals"
"777","10.1111/nyas.13610","evolving building blocks of rhythm: how human cognition creates music via cultural transmission"
"778","10.1371/journal.pone.0029741","changes in humpback whale song occurrence in response to an acoustic source 200 km away"
"779","10.1073/pnas.1222336110","perceptual basis of evolving western musical styles"
"780","10.1038/s41598-018-22933-2","multifractal analysis reveals music-like dynamic structure in songbird rhythms"
"781","10.1016/j.cub.2020.06.072","categorical rhythms are shared between songbirds and humans"
"782","10.2307/40285265","the search for a survival value of music"
"783","10.1098/rstb.2014.0097","principles of structure building in music, language and animal song"
"784","10.1098/rspa.2021.0457","modelling song popularity as a contagious process"
"785","10.1016/j.heares.2013.08.016","investigation of musicality in birdsong"
"787",NA,"leading the herd astray: an experimental study of self-fulfilling prophecies in an artificial cultural market"
"788","10.1177/2059204318786084","measuring the cultural evolution of music: with case studies of british-american and japanese folk, art, and popular music"
"789","10.1057/s41599-019-0221-1f5z3","cultural evolution of music"
"791","10.31234/osf.io/q3egp","toward a new comparative musicology"
"792","10.1073/pnas.1414495112","statistical universals reveal the structures and functions of human music"
"793",NA,"quantitative evaluation of music copyright infringement"
"794","10.1017/S0140525X20000333","music as a coevolved system for social bonding"
"795","10.1017/S0140525X21000042","authors’ response: toward inclusive theories of the evolution of musicality"
"796","10.1016/j.cub.2022.01.039","sequence alignment of folk song melodies reveals cross-cultural regularities of musical evolution"
"797","10.1525/MP.2017.34.3.327","global music recordings support the motor constraint hypothesis for human and avian song contour"
"798","10.1098/rsos.190944","five decades of us, uk, german and dutch music charts show that cultural processes are accelerating"
"799","10.1017/S0140525X20001181","ecological and psychological factors in the cultural evolution of music"
"800",NA,"ethnomusicology and music law"
"801",NA,"the computational study of a musical culture through its digital traces"
"802","10.1038/srep00521","measuring the evolution of contemporary western popular music"
"803","10.1007/978-3-642-11674-2_14","audio cover song identification and similarity: background, approaches, evaluation, and beyond"
"804","10.1140/epjds/s13688-021-00293-8","heaps’ law and vocabulary richness in the history of classical music harmony"
"805","10.1016/j.anbehav.2013.01.021","songs of the city: noise-dependent spectral plasticity in the acoustic phenotype of urban birds"
"806","10.3389/fpsyg.2021.663397","from beethoven to beyoncé: do changing aesthetic cultures amount to “cumulative cultural evolution?"
"807","10.1080/2153599X.2017.1323779","spotify’s “plagiarism detector” aims to expose music that is unoriginal"
"808","10.1371/journal.pone.0256901","evaluating the relative contributions of copying and reconstruction processes in cultural transmission episodes"
"809","10.31234/osf.io/2he8k","the role of population size in folk tune complexity"
"810",NA,"the oxford history of western music"
"811","10.1063/1.2988285","community structures and role detection in music networks"
"812","10.1086/510463","phylogenetics and material cultural evolution"
"813","10.1016/j.socnet.2019.10.005","social complex contagion in music listenership: a natural experiment with 1.3 million participants"
"814","10.1038/s41562-020-00987-5","learning metrics on spectrotemporal modulations reveals the perception of musical instrument timbre"
"815","10.1073/pnas.1103882108","the motor origins of human and avian song structure"
"816",NA,"a mathematical analysis of african, brazilian, and cuban clave rhythms"
"817",NA,"classification and phylogenetic analysis of african ternary rhythm timelines"
"818","10.1073/pnas.1510724112","cross-cultural convergence of musical features"
"819","10.1016/j.poetic.2015.06.005","a community ecology of genres: explaining the emergence of new genres in the uk field of electronic/dance music, 1985-1999"
"820","10.1371/journal.pone.0244576","why are song lyrics becoming simpler? a time series analysis of lyrical complexity in six decades of american popular music"
"821","10.3389/fpsyg.2021.668300","melodic universals emerge or are sustained through cultural evolution"
"822",NA,"computational corpus analysis: a case study on jazz solos"
"823","10.1177/1029864918757595","investigating style evolution of western classical music: a computational approach"
"824","10.1080/15405702.2020.1715980","organizing music, organizing gender: algorithmic culture and spotify recommendations"
"825","10.1080/0022250X.2021.1956918","drifting to the top? disentangling mechanisms influencing the turnover rate of popular music the turnover rate of popular music"
"826","10.1093/em/cau100","a phylogenetic analysis of orlando gibbons’s prelude in g"
"827","10.5406/ethnomusicology.62.3.0403","like a cry from the heart”: an insider’s view on the genesis of alan lomax’s ideas and the legacy of his research: part ii"
"828","10.1371/journal.pone.0211860","cultural transmission modes of music sampling traditions remain stable despite delocalization in the digital age"
"829","10.1098/rsos.191149","conformity bias in the cultural transmission of music sampling traditions"
"830","10.1016/j.evolhumbehav.2021.06.002","phylogenetic reconstruction of the cultural evolution of electronic music via dynamic community detection (1975–1999"
"831","10.1016/j.anbehav.2021.12.012","content bias in the cultural evolution of house finch song"
"832","10.31234/osf.io/tq7v5","perceptual vs. automated judgments of music copyright infringement"
"833","10.1098/rstb.2020.0242","global cultural evolutionary model of humpback whale song"
"834","10.1093/oxfordhb/9780198869252.013.39","the cultural transmission and evolution of folk narratives"
"835","10.1017/ehs.2025.10009","african harps as units of cultural evolution: a cladistic analysis on their morphology"
"836","10.1093/oxfordhb/9780198869252.013.40","craft traditions"
"838","10.1017/ehs.2025.10016","opening strategies in the game of go from feudalism to
superhuman ai"
"839","10.1017/ehs.2025.10011","quantifying and explaining the rise of fiction"
"840","10.1093/oxfordhb/9780198869252.013.45","evolution of modern literature and film"
"841","10.1017/ehs.2025.10015","the cultural macroevolution of arcade video games: innovation, collaboration, and collapse"
"842","10.1093/oxfordhb/9780198869252.013.43","signalling and the cultural evolution of art"
"843","10.1093/oxfordhb/9780198869252.013.42","cultural evolution and music"
"844","10.1086/316099","age and the quality of work: the case of modern american painters"
"845",NA,"a network framework of cultural history"
"846","10.1016/j.poetic.2015.01.001","place and culture-making: geographic clumping in the emergence of artistic schools"
"849","10.1038/s41598-024-60957-z","social signals predict contemporary art prices better than visual features, particularly in emerging markets"
"850","10.1073/pnas.2106152118","postmortem memory of public figures in news and social media"
"851","10.1073/pnas.2313580120","the afterlife of artists"
"852",NA,"the artful species: aesthetics, art, and evolution"
"853",NA,"ethology, interpersonal neurobiology, and play"
"854","10.1073/pnas.1800083115","history of art paintings through the lens of entropy and complexity"
"855",NA,"the shape of art history in the eyes of the machine"
"856","10.1007/978-3-642-41190-8_22","an early framework for determining artistic influence"
"858",NA,"progress in art"
"859","10.2307/773419","the theory of evolution in the history of art"
"860","10.1371/journal.pone.0202019","compression in cultural evolution: homogeneity and structure in the emergence and evolution of a large-scale online collaborative art project"
"861","10.1111/j.1469-7580.2009.01160.x","the evolution of human artistic creativity"
"862","10.1016/j.jcz.2015.05.001","elephas anthropogenus"
"863","10.1163/15685373-12340030","why was the color violet rarely used by artists before the 1860s?"
